Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
9/2/2020,9,2020,478.98999,479.040009,405.119995,447.369995,447.369995,96176100
9/3/2020,9,2020,407.230011,431.799988,402,407,407,87596100
9/4/2020,9,2020,402.809998,428,372.019989,418.320007,418.320007,110321900
9/8/2020,9,2020,356,368.73999,329.880005,330.209991,330.209991,115465700
9/9/2020,9,2020,356.600006,369,341.51001,366.279999,366.279999,79465800
9/10/2020,9,2020,386.209991,398.98999,360.559998,371.339996,371.339996,84930600
9/11/2020,9,2020,381.940002,382.5,360.5,372.720001,372.720001,60717500
9/14/2020,9,2020,380.950012,420,373.299988,419.619995,419.619995,83020600
9/15/2020,9,2020,436.559998,461.940002,430.700012,449.76001,449.76001,97298200
9/16/2020,9,2020,439.869995,457.790009,435.309998,441.76001,441.76001,72279300
9/17/2020,9,2020,415.600006,437.790009,408,423.429993,423.429993,76779200
9/18/2020,9,2020,447.940002,451,428.799988,442.149994,442.149994,86406800
9/21/2020,9,2020,453.130005,455.679993,407.070007,449.390015,449.390015,109476800
9/22/2020,9,2020,429.600006,437.76001,417.600006,424.230011,424.230011,79580800
9/23/2020,9,2020,405.160004,412.149994,375.880005,380.359985,380.359985,95074200
9/24/2020,9,2020,363.799988,399.5,351.299988,387.790009,387.790009,96561100
9/25/2020,9,2020,393.470001,408.730011,391.299988,407.339996,407.339996,67208500
9/28/2020,9,2020,424.619995,428.079987,415.549988,421.200012,421.200012,49719600
9/29/2020,9,2020,416,428.5,411.600006,419.070007,419.070007,50219300
9/30/2020,9,2020,421.320007,433.929993,420.470001,429.01001,429.01001,48145600
10/1/2020,10,2020,440.76001,448.880005,434.420013,448.160004,448.160004,50741500
10/2/2020,10,2020,421.390015,439.130005,415,415.089996,415.089996,71430000
10/5/2020,10,2020,423.350006,433.640015,419.329987,425.679993,425.679993,44722800
10/6/2020,10,2020,423.790009,428.779999,406.049988,413.980011,413.980011,49146300
